Date,Open,High,Low,Close,Adj Close,Volume
2018-05-10,187.740005,190.369995,187.649994,190.039993,188.648392,27989300
2018-05-11,189.490005,190.059998,187.449997,188.589996,187.930908,26212200
2018-05-14,189.009995,189.529999,187.860001,188.149994,187.492432,20778800
2018-05-15,186.779999,187.070007,185.100006,186.440002,185.788422,23695200
2018-05-16,186.070007,188.460007,186.000000,188.179993,187.522324,19183100
2018-05-17,188.000000,188.910004,186.360001,186.990005,186.336502,17294000
2018-05-18,187.190002,187.809998,186.130005,186.309998,185.658875,18297700
2018-05-21,188.000000,189.270004,186.910004,187.630005,186.974258,18400800
2018-05-22,188.380005,188.880005,186.779999,187.160004,186.505905,15240700
2018-05-23,186.350006,188.500000,185.759995,188.360001,187.701706,19467900
2018-05-24,188.770004,188.839996,186.210007,188.149994,187.492432,20401000
2018-05-25,188.229996,189.649994,187.649994,188.580002,187.920944,17461000
2018-05-29,187.600006,188.750000,186.869995,187.899994,187.243317,22369000
2018-05-30,187.720001,188.000000,186.779999,187.500000,186.844711,18690500
2018-05-31,187.220001,188.229996,186.139999,186.869995,186.216904,27482800
2018-06-01,187.990005,190.259995,187.750000,190.240005,189.575150,23250400
2018-06-04,191.639999,193.419998,191.350006,191.830002,191.159576,26132000
2018-06-05,193.070007,193.940002,192.360001,193.309998,192.634399,21566000
2018-06-06,193.630005,194.080002,191.919998,193.979996,193.302063,20933600
2018-06-07,194.139999,194.199997,192.339996,193.460007,192.783890,21347200
2018-06-08,191.169998,192.000000,189.770004,191.699997,191.030029,26656800
2018-06-11,191.350006,191.970001,190.210007,191.229996,190.561676,18308500
2018-06-12,191.389999,192.610001,191.149994,192.279999,191.608002,16911100
2018-06-13,192.419998,192.880005,190.440002,190.699997,190.033524,21638400
2018-06-14,191.550003,191.570007,190.220001,190.800003,190.133179,21610100
2018-06-15,190.029999,190.160004,188.259995,188.839996,188.180023,61719200
2018-06-18,187.880005,189.220001,187.199997,188.740005,188.080383,18484900
2018-06-19,185.139999,186.330002,183.449997,185.690002,185.041046,33578500
2018-06-20,186.350006,187.199997,185.729996,186.500000,185.848206,20628700
2018-06-21,187.250000,188.350006,184.940002,185.460007,184.811844,25711900
2018-06-22,186.119995,186.149994,184.699997,184.919998,184.273727,27200400
2018-06-25,183.399994,184.919998,180.729996,182.169998,181.533340,31663100
2018-06-26,182.990005,186.529999,182.539993,184.429993,183.785431,24569200
2018-06-27,185.229996,187.279999,184.029999,184.160004,183.516388,25285300
2018-06-28,184.100006,186.210007,183.800003,185.500000,184.851700,17365200
2018-06-29,186.289993,187.190002,182.910004,185.110001,184.463074,22737700
2018-07-02,183.820007,187.300003,183.419998,187.179993,186.525818,17731300
2018-07-03,187.789993,187.949997,183.539993,183.919998,183.277222,13954800
2018-07-05,185.259995,186.410004,184.279999,185.399994,184.752045,16604200
2018-07-06,185.419998,188.429993,185.199997,187.970001,187.313080,17485200
2018-07-09,189.500000,190.679993,189.300003,190.580002,189.913956,19756600
2018-07-10,190.710007,191.279999,190.179993,190.350006,189.684753,15939100
2018-07-11,188.500000,189.779999,187.610001,187.880005,187.223389,18831500
2018-07-12,189.529999,191.410004,189.309998,191.029999,190.362381,18041100
2018-07-13,191.080002,191.839996,190.899994,191.330002,190.661331,12513900
2018-07-16,191.520004,192.649994,190.419998,190.910004,190.242798,15043100
2018-07-17,189.750000,191.869995,189.199997,191.449997,190.780899,15534500
2018-07-18,191.779999,191.800003,189.929993,190.399994,189.734573,16393400
2018-07-19,189.690002,192.550003,189.690002,191.880005,191.209412,20286800
2018-07-20,191.779999,192.429993,190.169998,191.440002,190.770950,20676200
2018-07-23,190.679993,191.960007,189.559998,191.610001,190.940353,15989400
2018-07-24,192.449997,193.660004,192.050003,193.000000,192.325485,18697900
2018-07-25,193.059998,194.850006,192.429993,194.820007,194.139145,16709900
2018-07-26,194.610001,195.960007,193.610001,194.210007,193.531265,19076000
2018-07-27,194.990005,195.190002,190.100006,190.979996,190.312546,24024000
2018-07-30,191.899994,192.199997,189.070007,189.910004,189.246292,21029500
2018-07-31,190.300003,192.139999,189.339996,190.289993,189.624954,39373000
2018-08-01,199.130005,201.759995,197.309998,201.500000,200.795792,67935700
2018-08-02,200.580002,208.380005,200.350006,207.389999,206.665207,62404000
2018-08-03,207.029999,208.740005,205.479996,207.990005,207.263107,33447400
2018-08-06,208.000000,209.250000,207.070007,209.070007,208.339340,25425400
2018-08-07,209.320007,209.500000,206.759995,207.110001,206.386185,25587400
2018-08-08,206.050003,207.809998,204.520004,207.250000,206.525696,22525500
2018-08-09,207.279999,209.779999,207.199997,208.880005,208.149994,23469200
2018-08-10,207.360001,209.100006,206.669998,207.529999,207.529999,24611200
